"EventID","PDGcode","nopflash","flash","flash_time","flashPE","maxhitamp","meanhitamp","maxhitarea","meanhitarea","maxhitwidth","meanhitwidth","maxhitPE","meanhitPE","maxhitrisetime","meanhitrisetime"
5,"pion",1,0,3.74029,3013.71,4204.02,62.797,106432,757.213,1.062,0.0422588,532.16,3.78606,0.046,0.00452764
6,"pion",1,0,0.00128584,18220.1,11911.7,84.8105,572581,1781.05,2.776,0.0502571,2862.9,8.90523,0.1,0.00484262
7,"pion",1,0,3.92501,3399.4,4194.28,63.5322,107435,805.545,0.838,0.0434194,537.175,4.02773,0.25,0.00477725
8,"pion",1,0,0.00229428,7111.25,4681.84,63.9076,218241,928.361,2.352,0.0444674,1091.21,4.64181,0.09,0.00482245
9,"pion",2,0,0.00276375,5593.81,4159.31,65.3155,154040,911.044,1.526,0.0438941,770.2,4.55522,0.24,0.00483713
10,"pion",1,0,1.02572,3313.89,2275.7,62.1708,48079,698.396,0.666,0.0412287,240.395,3.49198,0.056,0.00454373
11,"pion",1,0,0.0014571,15621.2,5506.77,73.4225,234631,1286.75,1.834,0.0488163,1173.15,6.43376,0.27,0.00505931
12,"pion",1,0,-6.16649e-05,8282.24,4491.15,64.0639,219333,1032.05,1.738,0.0461794,1096.67,5.16027,0.066,0.00472773
13,"pion",1,0,0.0014571,12315.6,5546.39,69.6567,270432,1133.51,2.526,0.0472131,1352.16,5.66755,0.196,0.00506489
14,"pion",3,0,1147.96,719.491,919.815,50.6806,13072.1,417.097,0.112,0.0362261,65.3604,2.08548,0.012,0.00424348
15,"pion",1,0,0.00195251,14356.8,7707.68,75.3649,535623,1484.67,3.522,0.0489917,2678.12,7.42337,0.368,0.0049969
16,"pion",2,0,0.00202772,18938.8,10914,84.0857,514559,1782.48,2.828,0.0507539,2572.8,8.9124,0.13,0.00490635
17,"pion",1,0,0.00229428,8724.06,4958.77,68.4136,186289,994.762,1.682,0.0455063,931.446,4.97381,0.074,0.00477993
18,"pion",2,0,0.00176375,819.963,1128.72,51.9626,15032.6,460.654,0.134,0.0374157,75.1632,2.30327,0.04,0.00419663
19,"pion",3,0,172.249,514.327,598.755,52.5619,7656.71,430.399,0.082,0.0368536,38.2836,2.15199,0.01,0.00433473
20,"pion",1,0,0.00202772,15672.8,8536.15,76.2206,462355,1560.26,2.614,0.0489378,2311.78,7.8013,0.058,0.004666
1,"pion",1,0,0.00129428,5982.29,2650.37,63.1984,180741,941.352,1.784,0.0446515,903.706,4.70676,0.328,0.00492054
