EventID,PDGcode,nopflash,flash,flash_time,flashPE,maxhitamp,meanhitamp,maxhitarea,meanhitarea,maxhitwidth,meanhitwidth,maxhitPE,meanhitPE,maxhitrisetime,meanhitrisetime
4,-13,1,0,0.00328584,17139.7,6396.9,73.0646,373021,1490.41,2.428,0.0499113,1865.1,7.45203,0.094,0.00493478
5,-13,1,0,2.25395,1274.29,1504.21,55.5702,23693.4,510.737,0.244,0.0375872,118.467,2.55369,0.026,0.0044008
6,-13,1,0,0.00195251,10761.7,5162.52,69.9159,188311,1122.76,1.424,0.046627,941.553,5.6138,0.116,0.00488159
7,-13,1,0,-4.74939e-05,6217.08,2713.85,67.5458,82207.6,916.973,0.88,0.044646,411.038,4.58487,0.196,0.00492773
8,-13,1,0,0.00195251,7409.08,4167.38,68.7796,141148,1014.25,1.274,0.0459658,705.742,5.07124,0.606,0.00504997
9,-13,1,0,0.000716185,13403,5327.45,70.0184,214095,1100.86,1.96,0.0469733,1070.48,5.5043,0.1,0.00476057
10,-13,1,0,0.703286,1336.25,1202.69,53.864,13447.1,510.996,0.394,0.038478,67.2353,2.55498,0.066,0.00464627
11,-13,1,0,0.0024571,15144.7,6713.19,71.7572,273084,1249.56,2.006,0.0478911,1365.42,6.2478,0.048,0.00462541
12,-13,1,0,0.000271668,8869.29,3965.93,68.1491,132015,982.202,1.236,0.0456334,660.077,4.91101,0.41,0.00502436
13,-13,1,0,0.00296095,12812.5,4926.11,70.5113,262508,1248.78,2.388,0.0486676,1312.54,6.24392,0.896,0.00530604
14,-13,1,0,0.00148741,25474.8,7638.88,81.1046,439219,1801.61,2.52,0.054005,2196.09,9.00806,0.636,0.00531825
15,-13,1,0,0.00278998,18476.7,6655.61,75.8323,420328,1619.34,2.562,0.0513935,2101.64,8.0967,0.15,0.00495618
16,-13,1,0,0.00231618,25574,8739.43,80.4132,475441,1629.95,2.84,0.0523741,2377.21,8.14976,0.274,0.00501083
17,-13,1,0,0.000790437,8698.47,3795.16,64.2049,231298,1098.29,2.218,0.0465505,1156.49,5.49146,0.112,0.00459722
18,-13,1,0,0.0894571,2738.37,3694.57,62.1975,90044.5,716.852,0.756,0.0414607,450.222,3.58426,0.094,0.00455236
19,-13,1,0,0.00227167,18353.7,6514.6,76.3008,400119,1477.16,2.932,0.0506245,2000.59,7.38578,0.122,0.00494004
20,-13,1,0,0.00202772,20663.6,8603.78,79.1784,538065,1760.85,2.672,0.0523392,2690.33,8.80425,0.486,0.00519727
1,-13,1,0,0.00213207,7448.62,3290.57,61.1959,230379,1005.21,2.152,0.0450054,1151.9,5.02606,0.314,0.00474089
2,-13,1,0,0.00276375,6317.21,3619.61,65.1834,109071,837.827,1.342,0.043374,545.356,4.18913,0.078,0.00478912
3,-13,1,0,0.00178998,10531.7,4253.02,67.2438,271267,1233.94,2.144,0.0474845,1356.34,6.1697,0.122,0.00480726
4,-13,1,0,0.00178998,15570.1,6295.69,73.4211,318567,1372.42,2.48,0.0490145,1592.84,6.86209,0.168,0.00486734
5,-13,1,0,0.0900718,2610.76,4376.28,63.449,77759.8,730.284,0.512,0.0407636,388.799,3.65142,0.064,0.00462657
6,-13,1,0,0.0014571,11875.3,4575.27,68.3506,249313,1173.45,2.116,0.047418,1246.56,5.86726,0.088,0.00472332
7,-13,1,0,0.000952506,6310.79,2704.64,62.1405,81418.8,772.435,0.77,0.0426438,407.094,3.86217,0.16,0.00463035
8,-13,1,0,0.000977628,7502.13,3437.34,65.5443,170446,1017.24,1.776,0.0461058,852.232,5.08619,0.088,0.00469559
9,-13,1,0,0.00245665,12345.7,5267.85,71.2016,297217,1279.35,2.796,0.0481368,1486.08,6.39675,0.156,0.00481244
10,-13,1,0,0.854013,2740.55,3600.74,59.3847,80971.9,687.716,0.856,0.0413601,404.86,3.43858,0.05,0.00430615
11,-13,1,0,0.00193834,16096.4,6161.21,74.0138,276059,1281.56,2.3,0.0483615,1380.3,6.4078,0.624,0.00533758
12,-13,2,0,0.000790437,8298.12,4248.16,64.8828,166924,865.74,1.6,0.0435649,834.622,4.3287,0.066,0.00459051
12,-13,2,1,8.70455,88.0274,4248.16,64.8828,166924,865.74,1.6,0.0435649,834.622,4.3287,0.066,0.00459051
13,-13,1,0,0.00178998,13446.6,5634.93,71.8484,205350,1097.23,1.508,0.0463574,1026.75,5.48616,0.054,0.00468462
14,-13,1,0,0.00157834,23549.9,7176.18,78.8632,444655,1724,2.622,0.0524392,2223.27,8.62002,0.074,0.00482796
15,-13,1,0,0.00276375,18787.3,7841.14,78.8216,343709,1567.57,1.998,0.0507593,1718.55,7.83784,0.304,0.00526241
16,-13,2,0,1.98569,822.837,245.73,46.7249,3227.95,362.483,0.114,0.0356432,16.1397,1.81242,0.012,0.00425551
16,-13,2,1,0.00124501,25162.4,245.73,46.7249,3227.95,362.483,0.114,0.0356432,16.1397,1.81242,0.012,0.00425551
17,-13,1,0,0.00178998,7377.27,4630.08,68.2735,149830,951.906,1.142,0.0454606,749.15,4.75953,0.15,0.00497161
18,-13,1,0,1.04995,2034.32,2154.14,58.4612,63206.9,633.744,0.996,0.0415794,316.034,3.16872,0.03,0.00439564
19,-13,1,0,0.00147763,19074.4,6503.02,75.2507,417914,1543.86,2.61,0.051193,2089.57,7.71932,0.126,0.00518495
20,-13,1,0,0.00171618,18673.2,6563.1,75.7334,401118,1598.73,2.464,0.0510582,2005.59,7.99367,0.094,0.00478168
1,-13,1,0,0.00129428,7708.51,3742.8,66.6977,111065,934.365,1.14,0.0450497,555.327,4.67182,0.054,0.00474788
2,-13,1,0,0.00195251,6759.88,3651.16,64.9545,187322,980.402,1.298,0.0443176,936.609,4.90201,0.098,0.00476867
3,-13,1,0,0.000457103,10572.5,4399.69,68.4637,216027,1163.09,1.778,0.0473784,1080.14,5.81545,0.124,0.00493069
4,-13,1,0,0.00121618,16380.6,6126.75,74.5562,333406,1479.06,2.35,0.0504957,1667.03,7.39532,0.122,0.00483521
5,-13,1,0,0.503123,1943.96,1995.45,56.1614,31047.1,581.155,0.342,0.0402661,155.235,2.90578,0.032,0.00440359
6,-13,1,0,0.00212377,10553.2,4891.56,67.9246,185041,971.753,1.89,0.0449908,925.207,4.85876,0.186,0.00476151
7,-13,1,0,-0.000728332,4237.33,3419.36,63.2711,74036.3,774.648,0.67,0.0432505,370.182,3.87324,0.154,0.00502011
8,-13,1,0,0.000789984,7858.77,3950.64,65.9827,234405,1011.42,1.924,0.0456036,1172.02,5.05712,0.238,0.00494852
9,-13,2,0,0.0014571,10316.7,4900.9,69.7107,198439,1156.58,1.752,0.0468061,992.193,5.78291,0.096,0.00463565
9,-13,2,1,10.2907,1948.62,4900.9,69.7107,198439,1156.58,1.752,0.0468061,992.193,5.78291,0.096,0.00463565
10,-13,1,0,2.43229,2353.53,2213.46,57.7697,54825.7,626.772,0.734,0.0405353,274.128,3.13386,0.038,0.00451132
11,-13,1,0,0.00164429,17016.8,5995.9,72.9671,266694,1260.5,1.996,0.0484222,1333.47,6.30252,0.112,0.00493704
12,-13,1,0,0.000952506,9152.87,4316.85,66.5494,256476,1063.67,2.556,0.0467612,1282.38,5.31834,0.31,0.00479489
13,-13,2,0,0.00195251,9783.43,5706.38,70.3305,236694,1181.57,1.88,0.0469082,1183.47,5.90787,0.038,0.00458937
13,-13,2,1,12.1147,3470.04,5706.38,70.3305,236694,1181.57,1.88,0.0469082,1183.47,5.90787,0.038,0.00458937
